factor,horizon,mean_IC,t,%pos_days,Q5-Q1,periods_same_sign
rsi14,1d,-0.1141,-16.6,32%,-0.77%,7/7
ret_24h,1d,-0.1022,-14.5,34%,-0.55%,6/7
vwap7_dist,1d,-0.0881,-13.9,33%,-0.28%,7/7
rsi14,3d,-0.0768,-12.5,35%,-0.62%,7/7
dist_30d_low,1d,-0.0738,-11.9,36%,+0.00%,7/7
obv_chg_pctl,1d,-0.0643,-11.4,37%,-0.28%,6/7
macd_rel,1d,-0.0886,-11.3,37%,-0.82%,7/7
ret_24h,3d,-0.0752,-11.3,37%,-0.51%,7/7
dist_30d_low,3d,-0.0654,-10.6,37%,+0.26%,7/7
ret_7d,1d,-0.0596,-9.5,40%,-0.02%,7/7
obv_chg_pctl,3d,-0.0493,-9.4,39%,-0.12%,6/7
dist_30d_low,7d,-0.055,-9.3,38%,+0.93%,6/7
vwap7_dist,3d,-0.0572,-9.0,39%,-0.18%,7/7
rsi14,7d,-0.0484,-8.5,41%,-0.36%,7/7
macd_rel,3d,-0.0545,-8.4,40%,-0.82%,7/7
ret_24h,7d,-0.0491,-7.9,40%,-0.36%,7/7
macd_rel,7d,-0.0399,-6.9,42%,-0.75%,7/7
ret_7d,3d,-0.0433,-6.8,43%,+0.13%,7/7
buy_ratio,1d,-0.0268,-5.8,43%,-0.19%,7/7
obv_chg_pctl,7d,-0.028,-5.6,42%,+0.17%,7/7
vwap7_dist,7d,-0.0322,-5.1,46%,+0.04%,6/7
dist_30d_high,7d,0.0373,5.0,57%,+0.27%,5/7
ret_7d,7d,-0.027,-4.4,44%,+0.36%,6/7
buy_ratio,3d,-0.0167,-3.7,46%,-0.13%,6/7
vol_z,1d,-0.0215,-3.7,45%,+0.19%,7/7
bbw_pctl,7d,0.016,2.9,52%,+1.23%,4/7
vol_z,3d,-0.0137,-2.6,46%,+0.45%,6/7
bbw_pctl,3d,0.0156,2.6,51%,+0.65%,4/7
dist_30d_high,1d,-0.0168,-2.3,47%,-0.06%,6/7
buy_ratio,7d,-0.0096,-2.3,47%,+0.01%,5/7
bbw_pctl,1d,0.015,2.2,53%,+0.36%,3/7
atr_pctl,1d,-0.0132,-2.1,47%,+0.29%,6/7
atr_pctl,7d,0.0085,1.5,52%,+1.37%,3/7
vol_z,7d,-0.007,-1.4,47%,+0.99%,5/7
dist_30d_high,3d,0.0067,0.9,50%,+0.05%,5/7
spike_hours_24h,1d,-0.0285,-0.8,31%,+0.20%,4/6
atr_pctl,3d,-0.004,-0.7,49%,+0.67%,4/7
spike_hours_24h,3d,-0.0184,-0.5,41%,+0.48%,4/6
spike_hours_24h,7d,0.0193,0.4,44%,+0.97%,4/6
