state,n,ret_1d,ret_3d,ret_7d,edge_7d,P(up7d),P(+10%),stable
golden_cross,151,+0.83%,+2.54%,+5.63%,+5.17%,46%,47%,3/5
breakout_30d_high,2911,+0.51%,+1.90%,+3.55%,+3.09%,49%,46%,5/7
euphoria,5224,+0.46%,+0.95%,+1.72%,+1.26%,45%,46%,4/7
vol_spike_z3,5899,+0.55%,+1.26%,+1.48%,+1.02%,46%,39%,3/7
capitulation,4300,+0.59%,+1.65%,+1.09%,+0.63%,47%,47%,4/7
rsi_overbought,9957,+0.12%,+0.55%,+0.70%,+0.24%,45%,36%,5/7
macd_bear_cross,24812,+0.13%,+0.19%,+0.62%,+0.16%,46%,35%,4/7
macd_bull_cross,24996,+0.00%,+0.20%,+0.47%,+0.01%,46%,35%,4/7
obv_bull_div,10872,-0.06%,+0.01%,+0.19%,-0.27%,46%,35%,4/7
rsi_oversold,9988,-0.11%,+0.15%,+0.03%,-0.43%,47%,34%,4/7
bb_squeeze,13035,-0.17%,-0.35%,-0.34%,-0.80%,44%,32%,4/7
breakdown_30d_low,3561,-0.22%,+0.13%,-0.37%,-0.83%,48%,35%,4/7
death_cross,181,-0.30%,-0.55%,-1.80%,-2.26%,43%,29%,4/5
